location-id,semantic-place
1010300135,SMUSISL3SR3-1
1010300136,SMUSISL3SR3-1
1010300137,SMUSISL3SR3-1
1010300138,SMUSISL3STUDYAREA1
1010300139,SMUSISL3STUDYAREA1
1010300140,SMUSISL3STUDYAREA1
1010300141,SMUSISL3STUDYAREA1
1010300142,SMUSISL3STUDYAREA1
1010300143,SMUSISL3STUDYAREA1
1010300144,SMUSISL3STUDYAREA1
1010300145,SMUSISL3STUDYAREA1
1010300146,SMUSISL3STUDYAREA1
1010300147,SMUSISL3STUDYAREA1
1010300148,SMUSISL3STUDYAREA1
1010300149,SMUSISL3STUDYAREA1
1010300150,SMUSISL3STUDYAREA1
1010300151,SMUSISL3STUDYAREA1
1010400001,SMUSISL4LOBBY
1010400002,SMUSISL4LOBBY
1010400003,SMUSISL4LOBBY
1010400004,SMUSISL4LOBBY
1010400005,SMUSISL4LOBBY
1010400006,SMUSISL4LOBBY
1010400007,SMUSISL4LOBBY
1010400008,SMUSISL4LOBBY
1010400009,SMUSISL4LOBBY
1010400010,SMUSISL4LOBBY
1010400011,SMUSISL4LOBBY
1010400012,SMUSISL4LOBBY
1010400013,SMUSISL4LOBBY
1010400014,SMUSISL4LOBBY
1010400015,SMUSISL4LOBBY
1010400016,SMUSISL4LOBBY
1010400017,SMUSISL4LOBBY
1010400018,SMUSISL4LOBBY
1010400019,SMUSISL4LOBBY
1010400020,SMUSISL4LOBBY
1010400021,SMUSISL4STUDYAREA1
1010400022,SMUSISL4STUDYAREA1
1010400023,SMUSISL4STUDYAREA1
1010400024,SMUSISL4STUDYAREA1
1010400025,SMUSISL4STUDYAREA1
1010400026,SMUSISL4STUDYAREA2
1010400027,SMUSISL4STUDYAREA2
1010400028,SMUSISL4STUDYAREA2
1010400029,SMUSISL4STUDYAREA2
1010400030,SMUSISL4STUDYAREA2
1010400031,SMUSISL4STUDYAREA2
1010400032,SMUSISL4STUDYAREA2
1010400033,SMUSISL4STUDYAREA2
1010400034,SMUSISL4STUDYAREA2
1010400035,SMUSISL4STUDYAREA2
1010400036,SMUSISL4ACADOFFICE
1010400037,SMUSISL4ACADOFFICE
1010400038,SMUSISL4ACADOFFICE
1010400039,SMUSISL4ACADOFFICE
1010400040,SMUSISL4ACADOFFICE
1010400041,SMUSISL4ACADOFFICE
1010400042,SMUSISL4ACADOFFICE
1010400043,SMUSISL4ACADOFFICE
1010400044,SMUSISL4ACADOFFICE
1010400045,SMUSISL4ACADOFFICE
1010400046,SMUSISL4ACADOFFICE
1010400047,SMUSISL4STUDYAREA3
1010400048,SMUSISL4STUDYAREA3
1010400049,SMUSISL4STUDYAREA3
1010400050,SMUSISL4STUDYAREA3
1010400051,SMUSISL4ACADOFFICE
1010400052,SMUSISL4ACADOFFICE
1010400053,SMUSISL4ACADOFFICE
1010400054,SMUSISL4ACADOFFICE
1010400055,SMUSISL4ACADOFFICE
1010400056,SMUSISL4ACADOFFICE
1010400057,SMUSISL4ACADOFFICE
1010400058,SMUSISL4ACADOFFICE
1010400059,SMUSISL4ACADOFFICE
1010400060,SMUSISL4ACADOFFICE
1010400061,SMUSISL4ACADOFFICE
1010400062,SMUSISL4ACADOFFICE
1010400063,SMUSISL4ACADOFFICE
1010400064,SMUSISL4ACADOFFICE
1010400065,SMUSISL4ACADOFFICE
1010400066,SMUSISL4ACADOFFICE
1010400067,SMUSISL4ACADOFFICE
1010400068,SMUSISL4ACADOFFICE
1010400069,SMUSISL4ACADOFFICE
1010400070,SMUSISL4STUDYAREA4
1010400071,SMUSISL4STUDYAREA4
1010400072,SMUSISL4STUDYAREA4
1010400073,SMUSISL4STUDYAREA4
1010400074,SMUSISL4STUDYAREA4
1010400075,SMUSISL4STUDYAREA4
1010400076,SMUSISL4STUDYAREA4
1010500001,SMUSISL5LOBBY
